 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   4.0000000000000001E-002  -2.5600000000000001E-002 
   -3.140000000000000     
 u=   -540.0000000000000     
 v_perp=    4230.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.9522845473E-01   -5.3883815447E-03   -3.1648882203E+00    3.9999365673E-02
    7.9980000000E-05    5.9540578250E-01   -1.3369580228E-02   -3.1897323889E+00    3.9998209067E-02
    1.1998000000E-04    5.9570270720E-01   -2.1321590683E-02   -3.2144914100E+00    3.9996529608E-02
    1.5998000000E-04    5.9611751707E-01   -2.9234262524E-02   -3.2391366471E+00    3.9994326631E-02
    1.9998000000E-04    5.9664799296E-01   -3.7097476495E-02   -3.2636394661E+00    3.9991599749E-02
    2.3998000000E-04    5.9729141036E-01   -4.4901154859E-02   -3.2879712443E+00    3.9988349063E-02
    2.7998000000E-04    5.9804454242E-01   -5.2635274306E-02   -3.3121033882E+00    3.9984575394E-02
    3.1998000000E-04    5.9890366465E-01   -6.0289881658E-02   -3.3360073599E+00    3.9980280510E-02
    3.5998000000E-04    5.9986456207E-01   -6.7855112597E-02   -3.3596547116E+00    3.9975467338E-02
    3.9998000000E-04    6.0092253917E-01   -7.5321213607E-02   -3.3830171317E+00    3.9970140150E-02
    4.3998000000E-04    6.0207243346E-01   -8.2678567191E-02   -3.4060664996E+00    3.9964304696E-02
    4.7998000000E-04    6.0330863316E-01   -8.9917720334E-02   -3.4287749517E+00    3.9957968290E-02
    5.1998000000E-04    6.0462509922E-01   -9.7029415994E-02   -3.4511149564E+00    3.9951139841E-02
    5.5998000000E-04    6.0601539218E-01   -1.0400462723E-01   -3.4730593991E+00    3.9943829817E-02
    5.9998000000E-04    6.0747270385E-01   -1.1083459334E-01   -3.4945816737E+00    3.9936050170E-02
    6.3998000000E-04    6.0898989374E-01   -1.1751085720E-01   -3.5156557803E+00    3.9927814207E-02
    6.7998000000E-04    6.1055952993E-01   -1.2402530284E-01   -3.5362564260E+00    3.9919136425E-02
    7.1998000000E-04    6.1217393394E-01   -1.3037019198E-01   -3.5563591259E+00    3.9910032324E-02
    7.5998000000E-04    6.1382522893E-01   -1.3653819852E-01   -3.5759403005E+00    3.9900518208E-02
    7.9998000000E-04    6.1550539022E-01   -1.4252243953E-01   -3.5949773686E+00    3.9890610981E-02
    8.3998000000E-04    6.1720629758E-01   -1.4831650171E-01   -3.6134488293E+00    3.9880327952E-02
    8.7998000000E-04    6.1891978779E-01   -1.5391446217E-01   -3.6313343329E+00    3.9869686653E-02
    9.1998000000E-04    6.2063770701E-01   -1.5931090241E-01   -3.6486147383E+00    3.9858704681E-02
    9.5998000000E-04    6.2235196127E-01   -1.6450091677E-01   -3.6652721523E+00    3.9847399562E-02
    9.9998000000E-04    6.2405456472E-01   -1.6948011327E-01   -3.6812899529E+00    3.9835788639E-02
    1.0399800000E-03    6.2573768493E-01   -1.7424460698E-01   -3.6966527966E+00    3.9823888991E-02
    1.0799800000E-03    6.2739368440E-01   -1.7879100644E-01   -3.7113466081E+00    3.9811717369E-02
    1.1199800000E-03    6.2901515810E-01   -1.8311639402E-01   -3.7253585561E+00    3.9799290164E-02
    1.1599800000E-03    6.3059496665E-01   -1.8721830064E-01   -3.7386770152E+00    3.9786623381E-02
    1.1999800000E-03    6.3212626514E-01   -1.9109467599E-01   -3.7512915158E+00    3.9773732639E-02
    1.2399800000E-03    6.3360252757E-01   -1.9474385521E-01   -3.7631926861E+00    3.9760633178E-02
    1.2799800000E-03    6.3501756737E-01   -1.9816452299E-01   -3.7743721864E+00    3.9747339875E-02
    1.3199800000E-03    6.3636555391E-01   -2.0135567604E-01   -3.7848226390E+00    3.9733867266E-02
    1.3599800000E-03    6.3764102574E-01   -2.0431658500E-01   -3.7945375563E+00    3.9720229578E-02
    1.3999800000E-03    6.3883890073E-01   -2.0704675650E-01   -3.8035112682E+00    3.9706440749E-02
    1.4399800000E-03    6.3995448365E-01   -2.0954589617E-01   -3.8117388513E+00    3.9692514467E-02
    1.4799800000E-03    6.4098347154E-01   -2.1181387309E-01   -3.8192160607E+00    3.9678464192E-02
    1.5199800000E-03    6.4192195737E-01   -2.1385068645E-01   -3.8259392656E+00    3.9664303186E-02
    1.5599800000E-03    6.4276643217E-01   -2.1565643450E-01   -3.8319053905E+00    3.9650044539E-02
    1.5999800000E-03    6.4351378622E-01   -2.1723128626E-01   -3.8371118612E+00    3.9635701194E-02
    1.6399800000E-03    6.4416130934E-01   -2.1857545627E-01   -3.8415565569E+00    3.9621285966E-02
    1.6799800000E-03    6.4470669070E-01   -2.1968918232E-01   -3.8452377685E+00    3.9606811565E-02
    1.7199800000E-03    6.4514801827E-01   -2.2057270646E-01   -3.8481541633E+00    3.9592290610E-02
    1.7599800000E-03    6.4548377807E-01   -2.2122625917E-01   -3.8503047558E+00    3.9577735652E-02
    1.7999800000E-03    6.4571285340E-01   -2.2165004690E-01   -3.8516888847E+00    3.9563159183E-02
    1.8399800000E-03    6.4583452414E-01   -2.2184424270E-01   -3.8523061962E+00    3.9548573652E-02
    1.8799800000E-03    6.4584846627E-01   -2.2180897939E-01   -3.8521566341E+00    3.9533991481E-02
    1.9199800000E-03    6.4575475146E-01   -2.2154434655E-01   -3.8512404353E+00    3.9519425075E-02
    1.9599800000E-03    6.4555384666E-01   -2.2105039224E-01   -3.8495581301E+00    3.9504886838E-02
    1.9999800000E-03    6.4524661397E-01   -2.2032712683E-01   -3.8471105497E+00    3.9490389183E-02
    2.0399800000E-03    6.4483431072E-01   -2.1937453011E-01   -3.8438988396E+00    3.9475944551E-02
    2.0799800000E-03    6.4431858965E-01   -2.1819256159E-01   -3.8399244790E+00    3.9461565421E-02
    2.1199800000E-03    6.4370149906E-01   -2.1678117412E-01   -3.8351893064E+00    3.9447264328E-02
    2.1599800000E-03    6.4298548296E-01   -2.1514033068E-01   -3.8296955517E+00    3.9433053882E-02
    2.1999800000E-03    6.4217338087E-01   -2.1327002450E-01   -3.8234458744E+00    3.9418946785E-02
    2.2399800000E-03    6.4126842731E-01   -2.1117030218E-01   -3.8164434082E+00    3.9404955853E-02
    2.2799800000E-03    6.4027425061E-01   -2.0884129001E-01   -3.8086918112E+00    3.9391094039E-02
    2.3199800000E-03    6.3919487087E-01   -2.0628322301E-01   -3.8001953225E+00    3.9377374458E-02
    2.3599800000E-03    6.3803469670E-01   -2.0349647673E-01   -3.7909588238E+00    3.9363810412E-02
    2.3999800000E-03    6.3679852045E-01   -2.0048160126E-01   -3.7809879060E+00    3.9350415417E-02
    2.4399800000E-03    6.3549151153E-01   -1.9723935714E-01   -3.7702889387E+00    3.9337203232E-02
    2.4799800000E-03    6.3411920746E-01   -1.9377075257E-01   -3.7588691428E+00    3.9324187883E-02
    2.5199800000E-03    6.3268750215E-01   -1.9007708138E-01   -3.7467366639E+00    3.9311383693E-02
    2.5599800000E-03    6.3120263106E-01   -1.8615996075E-01   -3.7339006445E+00    3.9298805298E-02
    2.5999800000E-03    6.2967115283E-01   -1.8202136808E-01   -3.7203712935E+00    3.9286467664E-02
    2.6399800000E-03    6.2809992707E-01   -1.7766367588E-01   -3.7061599503E+00    3.9274386097E-02
    2.6799800000E-03    6.2649608795E-01   -1.7308968369E-01   -3.6912791408E+00    3.9262576236E-02
    2.7199800000E-03    6.2486701361E-01   -1.6830264608E-01   -3.6757426244E+00    3.9251054036E-02
    2.7599800000E-03    6.2322029115E-01   -1.6330629563E-01   -3.6595654275E+00    3.9239835737E-02
    2.7999800000E-03    6.2156367747E-01   -1.5810486015E-01   -3.6427638626E+00    3.9228937806E-02
    2.8399800000E-03    6.1990505634E-01   -1.5270307270E-01   -3.6253555331E+00    3.9218376867E-02
    2.8799800000E-03    6.1825239211E-01   -1.4710617407E-01   -3.6073593195E+00    3.9208169594E-02
    2.9199800000E-03    6.1661368032E-01   -1.4131990962E-01   -3.5887953476E+00    3.9198332597E-02
    2.9599800000E-03    6.1499689649E-01   -1.3535051862E-01   -3.5696849386E+00    3.9188882272E-02
    2.9999800000E-03    6.1340994381E-01   -1.2920471656E-01   -3.5500505441E+00    3.9179834646E-02
    3.0399800000E-03    6.1186060084E-01   -1.2288967125E-01   -3.5299156657E+00    3.9171205191E-02
    3.0799800000E-03    6.1035647019E-01   -1.1641297360E-01   -3.5093047632E+00    3.9163008649E-02
    3.1199800000E-03    6.0890492917E-01   -1.0978260420E-01   -3.4882431541E+00    3.9155258841E-02
    3.1599800000E-03    6.0751308330E-01   -1.0300689687E-01   -3.4667569072E+00    3.9147968502E-02
    3.1999800000E-03    6.0618772353E-01   -9.6094500638E-02   -3.4448727342E+00    3.9141149121E-02
    3.2399800000E-03    6.0493528768E-01   -8.9054341157E-02   -3.4226178835E+00    3.9134810828E-02
    3.2799800000E-03    6.0376182657E-01   -8.1895583021E-02   -3.4000200374E+00    3.9128962309E-02
    3.3199800000E-03    6.0267297501E-01   -7.4627593782E-02   -3.3771072182E+00    3.9123610773E-02
    3.3599800000E-03    6.0167392763E-01   -6.7259910563E-02   -3.3539077023E+00    3.9118761975E-02
    3.3999800000E-03    6.0076941938E-01   -5.9802209824E-02   -3.3304499465E+00    3.9114420286E-02
    3.4399800000E-03    5.9996371029E-01   -5.2264280602E-02   -3.3067625258E+00    3.9110588814E-02
    3.4799800000E-03    5.9926057413E-01   -4.4656001350E-02   -3.2828740834E+00    3.9107269570E-02
    3.5199800000E-03    5.9866329024E-01   -3.6987320285E-02   -3.2588132928E+00    3.9104463661E-02
    3.5599800000E-03    5.9817463806E-01   -2.9268239028E-02   -3.2346088314E+00    3.9102171512E-02
    3.5999800000E-03    5.9779689365E-01   -2.1508799171E-02   -3.2102893632E+00    3.9100393082E-02
    3.6399800000E-03    5.9753182776E-01   -1.3719071371E-02   -3.1858835316E+00    3.9099128068E-02
    3.6799800000E-03    5.9738070473E-01   -5.9091465067E-03   -3.1614199586E+00    3.9098376087E-02
    3.7199800000E-03    5.9734428198E-01    1.9108715837E-03   -3.1369272498E+00    3.9098136816E-02
    3.7599800000E-03    5.9742280968E-01    9.7308722681E-03   -3.1124340036E+00    3.9098410071E-02
    3.7999800000E-03    5.9761603041E-01    1.7540743679E-02   -3.0879688220E+00    3.9099195842E-02
    3.8399800000E-03    5.9792317870E-01    2.5330378174E-02   -3.0635603223E+00    3.9100494256E-02
    3.8799800000E-03    5.9834298061E-01    3.3089678221E-02   -3.0392371473E+00    3.9102305488E-02
    3.9199800000E-03    5.9887365345E-01    4.0808563247E-02   -3.0150279714E+00    3.9104629622E-02
    3.9599800000E-03    5.9951290607E-01    4.8476978028E-02   -2.9909615018E+00    3.9107466469E-02
    3.9999800000E-03    6.0025794004E-01    5.6084903196E-02   -2.9670664729E+00    3.9110815363E-02
    4.0399800000E-03    6.0110545241E-01    6.3622368422E-02   -2.9433716302E+00    3.9114674945E-02
    4.0799800000E-03    6.0205164051E-01    7.1079468807E-02   -2.9199057045E+00    3.9119042950E-02
    4.1199800000E-03    6.0309220966E-01    7.8446384897E-02   -2.8966973737E+00    3.9123916021E-02
    4.1599800000E-03    6.0422238415E-01    8.5713406619E-02   -2.8737752110E+00    3.9129289548E-02
    4.1999800000E-03    6.0543692245E-01    9.2870961227E-02   -2.8511676202E+00    3.9135157558E-02
    4.2399800000E-03    6.0673013684E-01    9.9909645129E-02   -2.8289027575E+00    3.9141512650E-02
    4.2799800000E-03    6.0809591810E-01    1.0682025919E-01   -2.8070084412E+00    3.9148345980E-02
    4.3199800000E-03    6.0952776523E-01    1.1359384686E-01   -2.7855120511E+00    3.9155647306E-02
    4.3599800000E-03    6.1101882041E-01    1.2022173417E-01   -2.7644404202E+00    3.9163405067E-02
    4.3999800000E-03    6.1256190882E-01    1.2669557045E-01   -2.7438197211E+00    3.9171606506E-02
    4.4399800000E-03    6.1414958288E-01    1.3300736852E-01   -2.7236753525E+00    3.9180237825E-02
    4.4799800000E-03    6.1577417028E-01    1.3914954278E-01   -2.7040318266E+00    3.9189284351E-02
