 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.0000000000000003E-002    1.970000000000000      
   -3.140000000000000     
 u=    832.0000000000000     
 v_perp=    3740.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    8.9655562192E-01   -8.0124955262E-02   -3.1071819808E+00    4.9992841795E-02
    7.9980000000E-05    8.9938289587E-01   -7.3012063718E-02   -3.0751504411E+00    4.9985378365E-02
    1.1998000000E-04    9.0234384922E-01   -6.6154519498E-02   -3.0439416003E+00    4.9977610776E-02
    1.5998000000E-04    9.0541682551E-01   -5.9558561134E-02   -3.0135722400E+00    4.9969538124E-02
    1.9998000000E-04    9.0858064773E-01   -5.3228624699E-02   -2.9840565327E+00    4.9961161457E-02
    2.3998000000E-04    9.1181476354E-01   -4.7167460423E-02   -2.9554063123E+00    4.9952484057E-02
    2.7998000000E-04    9.1509936332E-01   -4.1376265653E-02   -2.9276313787E+00    4.9943511561E-02
    3.1998000000E-04    9.1841547286E-01   -3.5854827265E-02   -2.9007398170E+00    4.9934251943E-02
    3.5998000000E-04    9.2174502321E-01   -3.0601667799E-02   -2.8747383126E+00    4.9924715359E-02
    3.9998000000E-04    9.2507090056E-01   -2.5614190933E-02   -2.8496324493E+00    4.9914913895E-02
    4.3998000000E-04    9.2837697875E-01   -2.0888823289E-02   -2.8254269799E+00    4.9904861233E-02
    4.7998000000E-04    9.3164813635E-01   -1.6421150597E-02   -2.8021260649E+00    4.9894572287E-02
    5.1998000000E-04    9.3487026073E-01   -1.2206047138E-02   -2.7797334751E+00    4.9884062822E-02
    5.5998000000E-04    9.3803024089E-01   -8.2377979194E-03   -2.7582527588E+00    4.9873349087E-02
    5.9998000000E-04    9.4111595064E-01   -4.5102134313E-03   -2.7376873739E+00    4.9862447472E-02
    6.3998000000E-04    9.4411622333E-01   -1.0167369739E-03   -2.7180407883E+00    4.9851374212E-02
    6.7998000000E-04    9.4702081965E-01    2.2494553365E-03   -2.6993165502E+00    4.9840145136E-02
    7.1998000000E-04    9.4982038953E-01    5.2953617554E-03   -2.6815183316E+00    4.9828775456E-02
    7.5998000000E-04    9.5250642968E-01    8.1280691214E-03   -2.6646499488E+00    4.9817279625E-02
    7.9998000000E-04    9.5507123777E-01    1.0754673879E-02   -2.6487153623E+00    4.9805671214E-02
    8.3998000000E-04    9.5750786471E-01    1.3182209649E-02   -2.6337186602E+00    4.9793962857E-02
    8.7998000000E-04    9.5981006586E-01    1.5417581026E-02   -2.6196640277E+00    4.9782166212E-02
    9.1998000000E-04    9.6197225257E-01    1.7467503240E-02   -2.6065557061E+00    4.9770291964E-02
    9.5998000000E-04    9.6398944447E-01    1.9338447291E-02   -2.5943979447E+00    4.9758349851E-02
    9.9998000000E-04    9.6585722370E-01    2.1036590157E-02   -2.5831949481E+00    4.9746348705E-02
    1.0399800000E-03    9.6757169138E-01    2.2567769699E-02   -2.5729508212E+00    4.9734296518E-02
    1.0799800000E-03    9.6912942687E-01    2.3937443916E-02   -2.5636695146E+00    4.9722200504E-02
    1.1199800000E-03    9.7052745022E-01    2.5150654265E-02   -2.5553547717E+00    4.9710067183E-02
    1.1599800000E-03    9.7176318796E-01    2.6211992808E-02   -2.5480100793E+00    4.9697902453E-02
    1.1999800000E-03    9.7283444250E-01    2.7125573011E-02   -2.5416386222E+00    4.9685711674E-02
    1.2399800000E-03    9.7373936511E-01    2.7895004086E-02   -2.5362432431E+00    4.9673499741E-02
    1.2799800000E-03    9.7447643266E-01    2.8523368782E-02   -2.5318264070E+00    4.9661271164E-02
    1.3199800000E-03    9.7504442805E-01    2.9013204609E-02   -2.5283901725E+00    4.9649030136E-02
    1.3599800000E-03    9.7544242441E-01    2.9366488477E-02   -2.5259361674E+00    4.9636780603E-02
    1.3999800000E-03    9.7566977296E-01    2.9584624755E-02   -2.5244655703E+00    4.9624526328E-02
    1.4399800000E-03    9.7572609460E-01    2.9668436767E-02   -2.5239790977E+00    4.9612270957E-02
    1.4799800000E-03    9.7561127521E-01    2.9618161746E-02   -2.5244769961E+00    4.9600018075E-02
    1.5199800000E-03    9.7532546477E-01    2.9433449254E-02   -2.5259590395E+00    4.9587771272E-02
    1.5599800000E-03    9.7486908000E-01    2.9113363080E-02   -2.5284245320E+00    4.9575534196E-02
    1.5999800000E-03    9.7424281037E-01    2.8656386612E-02   -2.5318723156E+00    4.9563310622E-02
    1.6399800000E-03    9.7344762805E-01    2.8060431687E-02   -2.5363007831E+00    4.9551104507E-02
    1.6799800000E-03    9.7248480154E-01    2.7322850900E-02   -2.5417078966E+00    4.9538920062E-02
    1.7199800000E-03    9.7135591292E-01    2.6440453377E-02   -2.5480912114E+00    4.9526761817E-02
    1.7599800000E-03    9.7006287892E-01    2.5409524008E-02   -2.5554479053E+00    4.9514634693E-02
    1.7999800000E-03    9.6860797553E-01    2.4225846176E-02   -2.5637748133E+00    4.9502544078E-02
    1.8399800000E-03    9.6699386624E-01    2.2884727999E-02   -2.5730684675E+00    4.9490495904E-02
    1.8799800000E-03    9.6522363390E-01    2.1381032204E-02   -2.5833251426E+00    4.9478496725E-02
    1.9199800000E-03    9.6330081576E-01    1.9709209727E-02   -2.5945409043E+00    4.9466553791E-02
    1.9599800000E-03    9.6122944181E-01    1.7863337237E-02   -2.6067116618E+00    4.9454675127E-02
    1.9999800000E-03    9.5901407587E-01    1.5837158807E-02   -2.6198332220E+00    4.9442869596E-02
    2.0399800000E-03    9.5665985911E-01    1.3624132009E-02   -2.6339013433E+00    4.9431146953E-02
    2.0799800000E-03    9.5417255548E-01    1.1217478763E-02   -2.6489117880E+00    4.9419517888E-02
    2.1199800000E-03    9.5155859831E-01    8.6102412951E-03   -2.6648603697E+00    4.9407994045E-02
    2.1599800000E-03    9.4882513737E-01    5.7953435567E-03   -2.6817429934E+00    4.9396588013E-02
    2.1999800000E-03    9.4598008548E-01    2.7656584782E-03   -2.6995556852E+00    4.9385313290E-02
    2.2399800000E-03    9.4303216355E-01   -4.8591863004E-04   -2.7182946093E+00    4.9374184206E-02
    2.2799800000E-03    9.3999094317E-01   -3.9663902336E-03   -2.7379560666E+00    4.9363215809E-02
    2.3199800000E-03    9.3686688541E-01   -7.6825700436E-03   -2.7585364746E+00    4.9352423702E-02
    2.3599800000E-03    9.3367137489E-01   -1.1640989589E-02   -2.7800323227E+00    4.9341823835E-02
    2.3999800000E-03    9.3041674792E-01   -1.5847797705E-02   -2.8024401010E+00    4.9331432248E-02
    2.4399800000E-03    9.2711631362E-01   -2.0308652762E-02   -2.8257561991E+00    4.9321264773E-02
    2.4799800000E-03    9.2378436709E-01   -2.5028607498E-02   -2.8499767710E+00    4.9311336693E-02
    2.5199800000E-03    9.2043619321E-01   -3.0011986386E-02   -2.8750975658E+00    4.9301662379E-02
    2.5599800000E-03    9.1708805992E-01   -3.5262255662E-02   -2.9011137199E+00    4.9292254925E-02
    2.5999800000E-03    9.1375719933E-01   -4.0781886536E-02   -2.9280195148E+00    4.9283125783E-02
    2.6399800000E-03    9.1046177443E-01   -4.6572212695E-02   -2.9558080998E+00    4.9274284460E-02
    2.6799800000E-03    9.0722082876E-01   -5.2633284158E-02   -2.9844711881E+00    4.9265738272E-02
    2.7199800000E-03    9.0405421646E-01   -5.8963720688E-02   -3.0139987362E+00    4.9257492218E-02
    2.7599800000E-03    9.0098251037E-01   -6.5560569293E-02   -3.0443786195E+00    4.9249548971E-02
    2.7999800000E-03    8.9802688481E-01   -7.2419171764E-02   -3.0755963247E+00    4.9241909025E-02
    2.8399800000E-03    8.9520897124E-01   -7.9533049411E-02   -3.1076346786E+00    4.9234570984E-02
    2.8799800000E-03    8.9255068603E-01   -8.6893812770E-02   -3.1404736369E+00    4.9227531986E-02
    2.9199800000E-03    8.9007403194E-01   -9.4491103958E-02   -3.1740901542E+00    4.9220788228E-02
    2.9599800000E-03    8.8780087736E-01   -1.0231257812E-01   -3.2084581525E+00    4.9214335547E-02
    2.9999800000E-03    8.8575272041E-01   -1.1034392811E-01   -3.2435485972E+00    4.9208169990E-02
    3.0399800000E-03    8.8395044726E-01   -1.1856895307E-01   -3.2793296802E+00    4.9202288322E-02
    3.0799800000E-03    8.8241409607E-01   -1.2696966757E-01   -3.3157670975E+00    4.9196688424E-02
    3.1199800000E-03    8.8116263818E-01   -1.3552644356E-01   -3.3528243949E+00    4.9191369531E-02
    3.1599800000E-03    8.8021378699E-01   -1.4421817385E-01   -3.3904633472E+00    4.9186332314E-02
    3.1999800000E-03    8.7958384178E-01   -1.5302244319E-01   -3.4286443267E+00    4.9181578800E-02
    3.2399800000E-03    8.7928756942E-01   -1.6191569279E-01   -3.4673266192E+00    4.9177112179E-02
    3.2799800000E-03    8.7933812156E-01   -1.7087336570E-01   -3.5064686451E+00    4.9172936522E-02
    3.3199800000E-03    8.7974697970E-01   -1.7987002464E-01   -3.5460280609E+00    4.9169056483E-02
    3.3599800000E-03    8.8052391639E-01   -1.8887943951E-01   -3.5859617267E+00    4.9165477017E-02
    3.3999800000E-03    8.8167695879E-01   -1.9787464861E-01   -3.6262255501E+00    4.9162203157E-02
    3.4399800000E-03    8.8321234067E-01   -2.0682800429E-01   -3.6667742331E+00    4.9159239875E-02
    3.4799800000E-03    8.8513443202E-01   -2.1571121861E-01   -3.7075609673E+00    4.9156592036E-02
    3.5199800000E-03    8.8744564009E-01   -2.2449542809E-01   -3.7485371337E+00    4.9154264433E-02
    3.5599800000E-03    8.9014628221E-01   -2.3315129590E-01   -3.7896520653E+00    4.9152261897E-02
    3.5999800000E-03    8.9323443748E-01   -2.4164916715E-01   -3.8308529277E+00    4.9150589461E-02
    3.6399800000E-03    8.9670579059E-01   -2.4995928619E-01   -3.8720847548E+00    4.9149252548E-02
    3.6799800000E-03    9.0055348532E-01   -2.5805207713E-01   -3.9132906583E+00    4.9148257172E-02
    3.7199800000E-03    9.0476800661E-01   -2.6589847979E-01   -3.9544122062E+00    4.9147610127E-02
    3.7599800000E-03    9.0933710943E-01   -2.7347032561E-01   -3.9953899391E+00    4.9147319146E-02
    3.7999800000E-03    9.1424580786E-01   -2.8074073237E-01   -4.0361639786E+00    4.9147393023E-02
    3.8399800000E-03    9.1947643243E-01   -2.8768449439E-01   -4.0766746666E+00    4.9147841664E-02
    3.8799800000E-03    9.2500875637E-01   -2.9427844588E-01   -4.1168631776E+00    4.9148676086E-02
    3.9199800000E-03    9.3082018502E-01   -3.0050177960E-01   -4.1566720499E+00    4.9149908317E-02
    3.9599800000E-03    9.3688599772E-01   -3.0633630926E-01   -4.1960455971E+00    4.9151551221E-02
    3.9999800000E-03    9.4317962797E-01   -3.1176667115E-01   -4.2349301794E+00    4.9153618240E-02
    4.0399800000E-03    9.4967296735E-01   -3.1678046715E-01   -4.2732743331E+00    4.9156123059E-02
    4.0799800000E-03    9.5633667926E-01   -3.2136835616E-01   -4.3110287712E+00    4.9159079235E-02
    4.1199800000E-03    9.6314051130E-01   -3.2552410380E-01   -4.3481462785E+00    4.9162499796E-02
    4.1599800000E-03    9.7005359779E-01   -3.2924460093E-01   -4.3845815330E+00    4.9166396862E-02
    4.1999800000E-03    9.7704474715E-01   -3.3252986023E-01   -4.4202908829E+00    4.9170781296E-02
    4.2399800000E-03    9.8408271121E-01   -3.3538299782E-01   -4.4552321083E+00    4.9175662416E-02
    4.2799800000E-03    9.9113643582E-01   -3.3781020340E-01   -4.4893641908E+00    4.9181047761E-02
    4.3199800000E-03    9.9817529313E-01   -3.3982069976E-01   -4.5226471108E+00    4.9186942904E-02
    4.3599800000E-03    1.0051692971E+00   -3.4142668910E-01   -4.5550416861E+00    4.9193351305E-02
