 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   4.0000000000000001E-002  -0.5260000000000000      
   -3.140000000000000     
 u=    870.0000000000000     
 v_perp=    3840.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    6.2532713846E-01    5.3228525087E-02   -3.1002165724E+00    3.9993426843E-02
    7.9980000000E-05    6.2550436908E-01    6.5756802721E-02   -3.0599669410E+00    3.9987478451E-02
    1.1998000000E-04    6.2601659253E-01    7.8395783489E-02   -3.0193235526E+00    3.9982159249E-02
    1.5998000000E-04    6.2687508640E-01    9.1123092389E-02   -2.9783377179E+00    3.9977471471E-02
    1.9998000000E-04    6.2808950655E-01    1.0391627099E-01   -2.9370598042E+00    3.9973419267E-02
    2.3998000000E-04    6.2966786017E-01    1.1675259826E-01   -2.8955399242E+00    3.9970008993E-02
    2.7998000000E-04    6.3161643782E-01    1.2960887062E-01   -2.8538287600E+00    3.9967249084E-02
    3.1998000000E-04    6.3393969744E-01    1.4246119504E-01   -2.8119783525E+00    3.9965149497E-02
    3.5998000000E-04    6.3664010753E-01    1.5528485016E-01   -2.7700426816E+00    3.9963720775E-02
    3.9998000000E-04    6.3971797029E-01    1.6805426128E-01   -2.7280778954E+00    3.9962972824E-02
    4.3998000000E-04    6.4317125497E-01    1.8074311724E-01   -2.6861420992E+00    3.9962913532E-02
    4.7998000000E-04    6.4699547573E-01    1.9332463337E-01   -2.6442946945E+00    3.9963547383E-02
    5.1998000000E-04    6.5118364369E-01    2.0577193872E-01   -2.6025953382E+00    3.9964874208E-02
    5.5998000000E-04    6.5572631217E-01    2.1805854420E-01   -2.5611026610E+00    3.9966888210E-02
    5.9998000000E-04    6.6061171832E-01    2.3015883424E-01   -2.5198729299E+00    3.9969577369E-02
    6.3998000000E-04    6.6582600827E-01    2.4204852233E-01   -2.4789588427E+00    3.9972923312E-02
    6.7998000000E-04    6.7135351925E-01    2.5370502004E-01   -2.4384086190E+00    3.9976901650E-02
    7.1998000000E-04    6.7717708608E-01    2.6510768691E-01   -2.3982654898E+00    3.9981482795E-02
