v_perp,v_para,output,dt,steps,compress,mass,nc,x1,x2,x3
-10000,7000,dat15.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-10000,7500,dat16.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-10000,8000,dat17.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-10000,8500,dat18.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-10000,9000,dat19.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-10000,9500,dat20.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-10000,10000,dat21.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,5500,dat33.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,6000,dat34.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,6500,dat35.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,7000,dat36.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,7500,dat37.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,8000,dat38.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,8500,dat39.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,9000,dat40.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,9500,dat41.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-9000,10000,dat42.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,5500,dat54.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,6000,dat55.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,6500,dat56.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,7000,dat57.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,7500,dat58.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,8000,dat59.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,8500,dat60.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,9000,dat61.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,9500,dat62.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-8000,10000,dat63.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,4500,dat73.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,5000,dat74.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,5500,dat75.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,6000,dat76.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,6500,dat77.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,7000,dat78.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,7500,dat79.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,8000,dat80.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,8500,dat81.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,9000,dat82.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,9500,dat83.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-7000,10000,dat84.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,3500,dat92.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,4000,dat93.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,4500,dat94.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,5000,dat95.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,5500,dat96.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,6000,dat97.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,6500,dat98.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,7000,dat99.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,7500,dat100.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,8000,dat101.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,8500,dat102.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,9000,dat103.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,9500,dat104.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-6000,10000,dat105.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,3000,dat112.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,3500,dat113.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,4000,dat114.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,4500,dat115.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,5000,dat116.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,5500,dat117.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,6000,dat118.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,6500,dat119.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,7000,dat120.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,7500,dat121.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,8000,dat122.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,8500,dat123.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,9000,dat124.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,9500,dat125.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-5000,10000,dat126.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,3000,dat133.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,3500,dat134.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,4000,dat135.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,4500,dat136.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,5000,dat137.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,5500,dat138.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,6000,dat139.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,6500,dat140.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,7000,dat141.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
-4000,7500,dat142.dat,5.00E-09,30000000,2000,1840,/home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc,0.082,3.71862,9.745349
