 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   5.0000000000000001E-009
 steps=     30000000
 x0=   8.2000000000000003E-002    3.718620000000000      
    9.745348999999999     
 u=    9000.000000000000     
 v_perp=   -10000.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-06    1.0094502765E+00    1.3472064391E-01    9.8297717321E+00    8.2002403744E-02
    1.9995000000E-05    1.0105598058E+00    1.5137365217E-01    9.9142939219E+00    8.1999757650E-02
    2.9995000000E-05    1.0128294947E+00    1.6715688172E-01    9.9987765240E+00    8.1991553333E-02
    3.9995000000E-05    1.0163228908E+00    1.8193203447E-01    1.0083111931E+01    8.1977265375E-02
    4.9995000000E-05    1.0210786782E+00    1.9554388038E-01    1.0167184827E+01    8.1956382106E-02
    5.9995000000E-05    1.0271111776E+00    2.0782166472E-01    1.0250872958E+01    8.1928410806E-02
    6.9995000000E-05    1.0344095063E+00    2.1858193761E-01    1.0334046145E+01    8.1892881023E-02
    7.9995000000E-05    1.0429351977E+00    2.2763389039E-01    1.0416565288E+01    8.1849363250E-02
    8.9995000000E-05    1.0526191132E+00    2.3478759822E-01    1.0498283184E+01    8.1797506621E-02
    9.9995000000E-05    1.0633592497E+00    2.3986440008E-01    1.0579047956E+01    8.1737083729E-02
    1.0999500000E-04    1.0750210328E+00    2.4270772358E-01    1.0658708413E+01    8.1668025960E-02
    1.1999500000E-04    1.0874408960E+00    2.4319248472E-01    1.0737119688E+01    8.1590446357E-02
    1.2999500000E-04    1.1004327960E+00    2.4123189175E-01    1.0814147660E+01    8.1504667009E-02
    1.3999500000E-04    1.1137964059E+00    2.3678175731E-01    1.0889671774E+01    8.1411269044E-02
    1.4999500000E-04    1.1273257954E+00    2.2984273804E-01    1.0963587132E+01    8.1311153465E-02
    1.5999500000E-04    1.1408178612E+00    2.2046053393E-01    1.1035806867E+01    8.1205564996E-02
    1.6999500000E-04    1.1540801939E+00    2.0872326259E-01    1.1106264965E+01    8.1096030962E-02
    1.7999500000E-04    1.1669378068E+00    1.9475601102E-01    1.1174918632E+01    8.0984215459E-02
    1.8999500000E-04    1.1792381282E+00    1.7871367026E-01    1.1241749150E+01    8.0871745789E-02
    1.9999500000E-04    1.1908540484E+00    1.6077356095E-01    1.1306760854E+01    8.0760081573E-02
    2.0999500000E-04    1.2016852303E+00    1.4112923988E-01    1.1369978776E+01    8.0650459427E-02
    2.1999500000E-04    1.2116581635E+00    1.1998614975E-01    1.1431445898E+01    8.0543898211E-02
    2.2999500000E-04    1.2207254871E+00    9.7558556860E-02    1.1491220725E+01    8.0441232571E-02
    2.3999500000E-04    1.2288649044E+00    7.4065900827E-02    1.1549375250E+01    8.0343159900E-02
    2.4999500000E-04    1.2360774676E+00    4.9727667100E-02    1.1605993567E+01    8.0250306985E-02
    2.5999500000E-04    1.2423847890E+00    2.4757604715E-02    1.1661171875E+01    8.0163316001E-02
    2.6999500000E-04    1.2478249826E+00   -6.4147684218E-04    1.1715020569E+01    8.0082917039E-02
    2.7999500000E-04    1.2524474854E+00   -2.6281816508E-02    1.1767667969E+01    8.0009930985E-02
    2.8999500000E-04    1.2563071443E+00   -5.1993716393E-02    1.1819263888E+01    7.9945165646E-02
    2.9999500000E-04    1.2594581006E+00   -7.7627547041E-02    1.1869980526E+01    7.9889224896E-02
    3.0999500000E-04    1.2619480884E+00   -1.0305457871E-01    1.1920008871E+01    7.9842303930E-02
    3.1999500000E-04    1.2638137468E+00   -1.2816629741E-01    1.1969550726E+01    7.9804053227E-02
    3.2999500000E-04    1.2650774063E+00   -1.5287212297E-01    1.2018808262E+01    7.9773556196E-02
    3.3999500000E-04    1.2657455439E+00   -1.7709607836E-01    1.2067973802E+01    7.9749412279E-02
    3.4999500000E-04    1.2658088066E+00   -2.0077342276E-01    1.2117221842E+01    7.9729882829E-02
    3.5999500000E-04    1.2652432664E+00   -2.2384817766E-01    1.2166704121E+01    7.9713053751E-02
    3.6999500000E-04    1.2640124740E+00   -2.4627192253E-01    1.2216547400E+01    7.9696985199E-02
    3.7999500000E-04    1.2620699204E+00   -2.6800352659E-01    1.2266853300E+01    7.9679835177E-02
    3.8999500000E-04    1.2593616433E+00   -2.8900907312E-01    1.2317699651E+01    7.9659950123E-02
    3.9999500000E-04    1.2558288591E+00   -3.0926130967E-01    1.2369143081E+01    7.9635915749E-02
    4.0999500000E-04    1.2514105777E+00   -3.2873838258E-01    1.2421222627E+01    7.9606566185E-02
    4.1999500000E-04    1.2460461473E+00   -3.4742205853E-01    1.2473963978E+01    7.9570962274E-02
    4.2999500000E-04    1.2396776223E+00   -3.6529579807E-01    1.2527383748E+01    7.9528361181E-02
    4.3999500000E-04    1.2322518307E+00   -3.8234289725E-01    1.2581493269E+01    7.9478196465E-02
    4.4999500000E-04    1.2237220999E+00   -3.9854470006E-01    1.2636301572E+01    7.9420069769E-02
    4.5999500000E-04    1.2140497430E+00   -4.1387888076E-01    1.2691817537E+01    7.9353738978E-02
    4.6999500000E-04    1.2032055426E+00   -4.2831800851E-01    1.2748051258E+01    7.9279092607E-02
    4.7999500000E-04    1.1911713048E+00   -4.4182889859E-01    1.2805014697E+01    7.9196123998E-02
    4.8999500000E-04    1.1779414139E+00   -4.5437298822E-01    1.2862721798E+01    7.9104930199E-02
    4.9999500000E-04    1.1635245946E+00   -4.6590749988E-01    1.2921188596E+01    7.9005734329E-02
    5.0999500000E-04    1.1479460794E+00   -4.7638719311E-01    1.2980433942E+01    7.8898891140E-02
    5.1999500000E-04    1.1312495903E+00   -4.8576651243E-01    1.3040481168E+01    7.8784843168E-02
    5.2999500000E-04    1.1134976920E+00   -4.9400148157E-01    1.3101360607E+01    7.8664059468E-02
    5.3999500000E-04    1.0947692012E+00   -5.0105055061E-01    1.3163112324E+01    7.8537026163E-02
    5.4999500000E-04    1.0751529347E+00   -5.0687391112E-01    1.3225787630E+01    7.8404271799E-02
    5.5999500000E-04    1.0547389427E+00   -5.1143151683E-01    1.3289447378E+01    7.8266289258E-02
    5.6999500000E-04    1.0336102117E+00   -5.1468101501E-01    1.3354155916E+01    7.8123321618E-02
    5.7999500000E-04    1.0118374588E+00   -5.1657653935E-01    1.3419972716E+01    7.7975278816E-02
    5.8999500000E-04    9.8947799258E-01   -5.1706798463E-01    1.3486946957E+01    7.7822050598E-02
    5.9999500000E-04    9.6657866909E-01   -5.1610021673E-01    1.3555119154E+01    7.7664008918E-02
    6.0999500000E-04    9.4318219171E-01   -5.1361189333E-01    1.3624528007E+01    7.7502181461E-02
    6.1999500000E-04    9.1933562198E-01   -5.0953451092E-01    1.3695216395E+01    7.7337902858E-02
    6.2999500000E-04    8.9509936954E-01   -5.0379312457E-01    1.3767232367E+01    7.7172286503E-02
    6.3999500000E-04    8.7055431635E-01   -4.9630906105E-01    1.3840626252E+01    7.7005977763E-02
    6.4999500000E-04    8.4580528904E-01   -4.8700413964E-01    1.3915448224E+01    7.6839321457E-02
    6.5999500000E-04    8.2098045753E-01   -4.7580505440E-01    1.3991749395E+01    7.6672724677E-02
    6.6999500000E-04    7.9622783094E-01   -4.6264729071E-01    1.4069585647E+01    7.6506901900E-02
    6.7999500000E-04    7.7171075087E-01   -4.4747898413E-01    1.4149020315E+01    7.6342845009E-02
    6.8999500000E-04    7.4760391641E-01   -4.3026512832E-01    1.4230121502E+01    7.6181601222E-02
    6.9999500000E-04    7.2408968258E-01   -4.1099396039E-01    1.4312953231E+01    7.6024067615E-02
    7.0999500000E-04    7.0135299294E-01   -3.8968516041E-01    1.4397564037E+01    7.5870943977E-02
    7.1999500000E-04    6.7957411168E-01   -3.6639596329E-01    1.4483979342E+01    7.5722828324E-02
    7.2999500000E-04    6.5891980920E-01   -3.4122229694E-01    1.4572203174E+01    7.5580322130E-02
    7.3999500000E-04    6.3953614636E-01   -3.1429304832E-01    1.4662228709E+01    7.5444022937E-02
    7.4999500000E-04    6.2154672867E-01   -2.8575882908E-01    1.4754049790E+01    7.5314412766E-02
    7.5999500000E-04    6.0505484126E-01   -2.5578361464E-01    1.4847665219E+01    7.5191751181E-02
    7.6999500000E-04    5.9014656917E-01   -2.2454153727E-01    1.4943071952E+01    7.5076093103E-02
    7.7999500000E-04    5.7689443040E-01   -1.9221371082E-01    1.5040250436E+01    7.4967522236E-02
    7.8999500000E-04    5.6536062789E-01   -1.5898258493E-01    1.5139151501E+01    7.4866537524E-02
    7.9999500000E-04    5.5560182819E-01   -1.2502301310E-01    1.5239689169E+01    7.4774286728E-02
    8.0999500000E-04    5.4767763174E-01   -9.0492546174E-02    1.5341734478E+01    7.4692328702E-02
    8.1999500000E-04    5.4165850319E-01   -5.5527000795E-02    1.5445106268E+01    7.4621977773E-02
    8.2999500000E-04    5.3762685937E-01   -2.0243318002E-02    1.5549563632E+01    7.4563688171E-02
