 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   5.0000000000000001E-009
 steps=     30000000
 x0=   8.2000000000000003E-002    3.718620000000000      
    9.745348999999999     
 u=    3000.000000000000     
 v_perp=    5000.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-06    1.0093171648E+00    1.2319124670E-01    9.7734827128E+00    8.2000656061E-02
    1.9995000000E-05    1.0093346539E+00    1.2898322223E-01    9.8016450122E+00    8.2001051031E-02
    2.9995000000E-05    1.0094681276E+00    1.3469623207E-01    9.8298173324E+00    8.2001177005E-02
    3.9995000000E-05    1.0097215023E+00    1.4032592373E-01    9.8579949661E+00    8.2001025601E-02
    4.9995000000E-05    1.0100983438E+00    1.4586775097E-01    9.8861730282E+00    8.2000587864E-02
    5.9995000000E-05    1.0106018663E+00    1.5131697178E-01    9.9143464874E+00    8.1999854501E-02
    6.9995000000E-05    1.0112349342E+00    1.5666865011E-01    9.9425101964E+00    8.1998816056E-02
    7.9995000000E-05    1.0120000661E+00    1.6191765958E-01    9.9706589172E+00    8.1997463035E-02
    8.9995000000E-05    1.0128994394E+00    1.6705868811E-01    9.9987873412E+00    8.1995785991E-02
    9.9995000000E-05    1.0139348959E+00    1.7208624273E-01    1.0026890102E+01    8.1993775577E-02
    1.0999500000E-04    1.0151079473E+00    1.7699465435E-01    1.0054961779E+01    8.1991422576E-02
    1.1999500000E-04    1.0164197795E+00    1.8177808264E-01    1.0082996898E+01    8.1988717912E-02
    1.2999500000E-04    1.0178712553E+00    1.8643052162E-01    1.0110989916E+01    8.1985652656E-02
    1.3999500000E-04    1.0194629151E+00    1.9094580648E-01    1.0138935206E+01    8.1982218018E-02
    1.4999500000E-04    1.0211949750E+00    1.9531762279E-01    1.0166827035E+01    8.1978405352E-02
    1.5999500000E-04    1.0230673216E+00    1.9953951890E-01    1.0194659536E+01    8.1974206159E-02
    1.6999500000E-04    1.0250795042E+00    2.0360492234E-01    1.0222426683E+01    8.1969612098E-02
    1.7999500000E-04    1.0272307236E+00    2.0750716120E-01    1.0250122263E+01    8.1964615023E-02
    1.8999500000E-04    1.0295198192E+00    2.1123949079E-01    1.0277739853E+01    8.1959207016E-02
    1.9999500000E-04    1.0319452540E+00    2.1479512604E-01    1.0305272802E+01    8.1953380457E-02
    2.0999500000E-04    1.0345050993E+00    2.1816727946E-01    1.0332714225E+01    8.1947128092E-02
    2.1999500000E-04    1.0371970194E+00    2.2134920447E-01    1.0360056992E+01    8.1940443126E-02
    2.2999500000E-04    1.0400182575E+00    2.2433424327E-01    1.0387293743E+01    8.1933319316E-02
