 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000001E-009
 steps=     30000000
 x0=   8.2000000000000003E-002    3.718620000000000      
    9.745348999999999     
 u=    6500.000000000000     
 v_perp=   -3000.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-06    1.0093233554E+00    1.2241328948E-01    9.7697287991E+00    8.2000585607E-02
    7.9980000000E-06    1.0093187791E+00    1.2744541648E-01    9.7941295346E+00    8.2000975180E-02
    1.1998000000E-05    1.0094004576E+00    1.3241889015E-01    9.8185376597E+00    8.2001163641E-02
    1.5998000000E-05    1.0095710172E+00    1.3733123814E-01    9.8429517058E+00    8.2001145684E-02
    1.9998000000E-05    1.0098329098E+00    1.4217986321E-01    9.8673700936E+00    8.2000915590E-02
    2.3998000000E-05    1.0101884130E+00    1.4696203768E-01    9.8917911379E+00    8.2000467352E-02
    2.7998000000E-05    1.0106396317E+00    1.5167490009E-01    9.9162130540E+00    8.1999794778E-02
    3.1998000000E-05    1.0111884989E+00    1.5631545346E-01    9.9406339639E+00    8.1998891564E-02
    3.5998000000E-05    1.0118367781E+00    1.6088056478E-01    9.9650519029E+00    8.1997751357E-02
    3.9998000000E-05    1.0125860654E+00    1.6536696529E-01    9.9894648268E+00    8.1996367787E-02
    4.3998000000E-05    1.0134377923E+00    1.6977125122E-01    1.0013870619E+01    8.1994734500E-02
    4.7998000000E-05    1.0143932273E+00    1.7408988509E-01    1.0038267095E+01    8.1992845172E-02
    5.1998000000E-05    1.0154534783E+00    1.7831919728E-01    1.0062652014E+01    8.1990693512E-02
    5.5998000000E-05    1.0166194944E+00    1.8245538801E-01    1.0087023077E+01    8.1988273269E-02
    5.9998000000E-05    1.0178920671E+00    1.8649452992E-01    1.0111377939E+01    8.1985578229E-02
    6.3998000000E-05    1.0192718304E+00    1.9043257116E-01    1.0135714212E+01    8.1982602208E-02
    6.7998000000E-05    1.0207592607E+00    1.9426533937E-01    1.0160029466E+01    8.1979339048E-02
    7.1998000000E-05    1.0223546755E+00    1.9798854659E-01    1.0184321238E+01    8.1975782621E-02
    7.5998000000E-05    1.0240582310E+00    2.0159779530E-01    1.0208587033E+01    8.1971926824E-02
    7.9998000000E-05    1.0258699188E+00    2.0508858574E-01    1.0232824325E+01    8.1967765588E-02
    8.3998000000E-05    1.0277895616E+00    2.0845632455E-01    1.0257030567E+01    8.1963292891E-02
    8.7998000000E-05    1.0298168083E+00    2.1169633499E-01    1.0281203185E+01    8.1958502774E-02
    9.1998000000E-05    1.0319511274E+00    2.1480386844E-01    1.0305339588E+01    8.1953389372E-02
    9.5998000000E-05    1.0341918014E+00    2.1777411754E-01    1.0329437167E+01    8.1947946941E-02
    9.9998000000E-05    1.0365379194E+00    2.2060223056E-01    1.0353493300E+01    8.1942169902E-02
    1.0399800000E-04    1.0389883704E+00    2.2328332711E-01    1.0377505355E+01    8.1936052880E-02
    1.0799800000E-04    1.0415418366E+00    2.2581251496E-01    1.0401470695E+01    8.1929590755E-02
    1.1199800000E-04    1.0441967874E+00    2.2818490769E-01    1.0425386681E+01    8.1922778708E-02
    1.1599800000E-04    1.0469514739E+00    2.3039564311E-01    1.0449250677E+01    8.1915612269E-02
    1.1999800000E-04    1.0498039246E+00    2.3243990207E-01    1.0473060054E+01    8.1908087365E-02
    1.2399800000E-04    1.0527519422E+00    2.3431292747E-01    1.0496812197E+01    8.1900200359E-02
    1.2799800000E-04    1.0557931023E+00    2.3601004319E-01    1.0520504509E+01    8.1891948093E-02
    1.3199800000E-04    1.0589247534E+00    2.3752667282E-01    1.0544134418E+01    8.1883327914E-02
    1.3599800000E-04    1.0621440184E+00    2.3885835774E-01    1.0567699380E+01    8.1874337705E-02
    1.3999800000E-04    1.0654477984E+00    2.4000077463E-01    1.0591196888E+01    8.1864975910E-02
    1.4399800000E-04    1.0688327778E+00    2.4094975209E-01    1.0614624473E+01    8.1855241554E-02
    1.4799800000E-04    1.0722954314E+00    2.4170128634E-01    1.0637979713E+01    8.1845134266E-02
    1.5199800000E-04    1.0758320329E+00    2.4225155590E-01    1.0661260234E+01    8.1834654311E-02
    1.5599800000E-04    1.0794386648E+00    2.4259693528E-01    1.0684463717E+01    8.1823802618E-02
    1.5999800000E-04    1.0831112294E+00    2.4273400763E-01    1.0707587899E+01    8.1812580825E-02
    1.6399800000E-04    1.0868454617E+00    2.4265957651E-01    1.0730630583E+01    8.1800991337E-02
    1.6799800000E-04    1.0906369420E+00    2.4237067661E-01    1.0753589631E+01    8.1789037390E-02
    1.7199800000E-04    1.0944811100E+00    2.4186458387E-01    1.0776462978E+01    8.1776723135E-02
    1.7599800000E-04    1.0983732794E+00    2.4113882462E-01    1.0799248628E+01    8.1764053722E-02
    1.7999800000E-04    1.1023086523E+00    2.4019118414E-01    1.0821944660E+01    8.1751035404E-02
    1.8399800000E-04    1.1062823344E+00    2.3901971450E-01    1.0844549231E+01    8.1737675630E-02
    1.8799800000E-04    1.1102893503E+00    2.3762274167E-01    1.0867060581E+01    8.1723983142E-02
    1.9199800000E-04    1.1143246584E+00    2.3599887182E-01    1.0889477036E+01    8.1709968060E-02
    1.9599800000E-04    1.1183831665E+00    2.3414699682E-01    1.0911797011E+01    8.1695641940E-02
    1.9999800000E-04    1.1224597468E+00    2.3206629825E-01    1.0934019018E+01    8.1681017817E-02
    2.0399800000E-04    1.1265492513E+00    2.2975625080E-01    1.0956141670E+01    8.1666110208E-02
    2.0799800000E-04    1.1306465262E+00    2.2721662461E-01    1.0978163683E+01    8.1650935082E-02
    2.1199800000E-04    1.1347464272E+00    2.2444748586E-01    1.1000083888E+01    8.1635509788E-02
    2.1599800000E-04    1.1388438335E+00    2.2144919561E-01    1.1021901230E+01    8.1619852950E-02
    2.1999800000E-04    1.1429336631E+00    2.1822240687E-01    1.1043614777E+01    8.1603984318E-02
    2.2399800000E-04    1.1470108859E+00    2.1476806003E-01    1.1065223720E+01    8.1587924593E-02
    2.2799800000E-04    1.1510705383E+00    2.1108737653E-01    1.1086727383E+01    8.1571695229E-02
    2.3199800000E-04    1.1551077358E+00    2.0718185107E-01    1.1108125219E+01    8.1555318214E-02
    2.3599800000E-04    1.1591176858E+00    2.0305324270E-01    1.1129416817E+01    8.1538815852E-02
    2.3999800000E-04    1.1630956990E+00    1.9870356498E-01    1.1150601904E+01    8.1522210547E-02
    2.4399800000E-04    1.1670372014E+00    1.9413507585E-01    1.1171680338E+01    8.1505524598E-02
    2.4799800000E-04    1.1709377434E+00    1.8935026766E-01    1.1192652117E+01    8.1488780021E-02
    2.5199800000E-04    1.1747930097E+00    1.8435185777E-01    1.1213517372E+01    8.1471998390E-02
    2.5599800000E-04    1.1785988276E+00    1.7914278032E-01    1.1234276365E+01    8.1455200720E-02
    2.5999800000E-04    1.1823511746E+00    1.7372617951E-01    1.1254929492E+01    8.1438407370E-02
    2.6399800000E-04    1.1860461850E+00    1.6810540464E-01    1.1275477274E+01    8.1421637983E-02
    2.6799800000E-04    1.1896801568E+00    1.6228400713E-01    1.1295920359E+01    8.1404911454E-02
    2.7199800000E-04    1.1932495568E+00    1.5626573940E-01    1.1316259519E+01    8.1388245920E-02
    2.7599800000E-04    1.1967510267E+00    1.5005455548E-01    1.1336495645E+01    8.1371658767E-02
    2.7999800000E-04    1.2001813884E+00    1.4365461242E-01    1.1356629747E+01    8.1355166650E-02
