 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000001E-009
 steps=     30000000
 x0=   8.2000000000000003E-002    3.718620000000000      
    9.745348999999999     
 u=    5500.000000000000     
 v_perp=    4000.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-06    1.0093316529E+00    1.2163423444E-01    9.7659776975E+00    8.2000491364E-02
    7.9980000000E-06    1.0093113787E+00    1.2590320850E-01    9.7866233636E+00    8.2000847506E-02
    1.1998000000E-05    1.0093522761E+00    1.3013074389E-01    9.8072747620E+00    8.2001065455E-02
    1.5998000000E-05    1.0094559767E+00    1.3431534622E-01    9.8279309134E+00    8.2001142214E-02
    1.9998000000E-05    1.0096240216E+00    1.3845545978E-01    9.8485907805E+00    8.2001074550E-02
    2.3998000000E-05    1.0098578611E+00    1.4254946464E-01    9.8692532707E+00    8.2000859056E-02
    2.7998000000E-05    1.0101588545E+00    1.4659567479E-01    9.8899172388E+00    8.2000492196E-02
    3.1998000000E-05    1.0105282710E+00    1.5059233698E-01    9.9105814901E+00    8.1999970350E-02
    3.5998000000E-05    1.0109672902E+00    1.5453763018E-01    9.9312447841E+00    8.1999289844E-02
    3.9998000000E-05    1.0114770028E+00    1.5842966537E-01    9.9519058371E+00    8.1998446978E-02
    4.3998000000E-05    1.0120584117E+00    1.6226648573E-01    9.9725633257E+00    8.1997438038E-02
    4.7998000000E-05    1.0127124330E+00    1.6604606695E-01    9.9932158897E+00    8.1996259317E-02
    5.1998000000E-05    1.0134398972E+00    1.6976631777E-01    1.0013862135E+01    8.1994907121E-02
    5.5998000000E-05    1.0142415498E+00    1.7342508055E-01    1.0034500637E+01    8.1993377774E-02
    5.9998000000E-05    1.0151180527E+00    1.7702013207E-01    1.0055129942E+01    8.1991667621E-02
    6.3998000000E-05    1.0160699845E+00    1.8054918438E-01    1.0075748568E+01    8.1989773030E-02
    6.7998000000E-05    1.0170978416E+00    1.8400988585E-01    1.0096355011E+01    8.1987690393E-02
    7.1998000000E-05    1.0182020379E+00    1.8739982245E-01    1.0116947742E+01    8.1985416119E-02
    7.5998000000E-05    1.0193829051E+00    1.9071651931E-01    1.0137525209E+01    8.1982946638E-02
    7.9998000000E-05    1.0206406927E+00    1.9395744255E-01    1.0158085839E+01    8.1980278399E-02
    8.3998000000E-05    1.0219755666E+00    1.9712000159E-01    1.0178628040E+01    8.1977407867E-02
    8.7998000000E-05    1.0233876086E+00    2.0020155182E-01    1.0199150199E+01    8.1974331526E-02
    9.1998000000E-05    1.0248768147E+00    2.0319939784E-01    1.0219650684E+01    8.1971045881E-02
    9.5998000000E-05    1.0264430933E+00    2.0611079715E-01    1.0240127843E+01    8.1967547465E-02
    9.9998000000E-05    1.0280862628E+00    2.0893296454E-01    1.0260580006E+01    8.1963832840E-02
    1.0399800000E-04    1.0298060497E+00    2.1166307691E-01    1.0281005487E+01    8.1959898617E-02
    1.0799800000E-04    1.0316020853E+00    2.1429827879E-01    1.0301402580E+01    8.1955741456E-02
    1.1199800000E-04    1.0334739030E+00    2.1683568837E-01    1.0321769564E+01    8.1951358091E-02
    1.1599800000E-04    1.0354209353E+00    2.1927240414E-01    1.0342104703E+01    8.1946745339E-02
    1.1999800000E-04    1.0374425109E+00    2.2160551198E-01    1.0362406247E+01    8.1941900124E-02
    1.2399800000E-04    1.0395378515E+00    2.2383209274E-01    1.0382672434E+01    8.1936819493E-02
    1.2799800000E-04    1.0417060693E+00    2.2594923019E-01    1.0402901492E+01    8.1931500638E-02
    1.3199800000E-04    1.0439461645E+00    2.2795401934E-01    1.0423091640E+01    8.1925940915E-02
    1.3599800000E-04    1.0462570229E+00    2.2984357493E-01    1.0443241093E+01    8.1920137868E-02
    1.3999800000E-04    1.0486374147E+00    2.3161504012E-01    1.0463348064E+01    8.1914089245E-02
    1.4399800000E-04    1.0510859927E+00    2.3326559522E-01    1.0483410764E+01    8.1907793018E-02
    1.4799800000E-04    1.0536012924E+00    2.3479246643E-01    1.0503427410E+01    8.1901247398E-02
    1.5199800000E-04    1.0561817315E+00    2.3619293441E-01    1.0523396223E+01    8.1894450851E-02
    1.5599800000E-04    1.0588256110E+00    2.3746434275E-01    1.0543315437E+01    8.1887402107E-02
    1.5999800000E-04    1.0615311161E+00    2.3860410610E-01    1.0563183299E+01    8.1880100177E-02
